age,studytime,failures,famrel,freetime,ChildCount,health,CountProf,scorProf,sex_F,sex_M,job_no,job_yes,famhightedu_no,famhightedu_yes,activities_no,activities_yes,NationalITy_Russia,NationalITy_Russian,NationalITy_Ukraine,NationalITy_kyrgyzstan,PlaceofBirth_Moroccan,PlaceofBirth_Palestine,PlaceofBirth_Russia,PlaceofBirth_Russian,PlaceofBirth_SaudiArabia,PlaceofBirth_Tajikistani,PlaceofBirth_Ukraine,PlaceofBirth_kyrgyzstan,Predict
20,2,1,4,4,2,5,9,4.59,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,B
19,2,0,4,3,1,2,7,3.89,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
20,3,0,5,3,1,1,14,4.6,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
19,2,1,4,4,1,3,10,3.9,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
19,3,0,4,3,1,4,7,3.93,True,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,D
20,1,0,4,5,1,1,17,4.0,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,B
19,2,0,3,3,2,2,6,4.0,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
19,2,1,5,3,1,1,10,3.44,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
20,4,0,4,3,1,4,13,3.85,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
19,1,0,3,3,1,4,20,4.66,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
19,2,1,4,3,1,5,9,4.39,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
19,1,0,5,3,1,1,14,4.64,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
19,3,0,5,3,1,3,9,4.66,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
19,3,0,4,4,1,4,17,4.42,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,D
20,1,0,5,3,1,5,13,3.76,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
20,2,0,4,3,1,2,6,4.03,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
20,2,0,5,4,1,1,18,4.68,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
20,4,0,4,3,1,4,11,3.84,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
19,3,0,5,3,1,5,18,4.36,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,B
20,4,0,1,3,3,1,13,4.23,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,B
20,1,0,5,5,1,4,19,4.08,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
20,1,0,3,5,1,3,19,4.22,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,C
20,2,3,5,4,1,5,9,4.75,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,B
19,2,0,5,4,1,5,20,3.9,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
20,2,0,4,4,1,2,13,4.63,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,B
19,1,0,5,4,1,5,14,4.69,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
20,1,0,3,4,1,4,13,3.36,False,True,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,A
20,2,0,3,2,1,1,20,3.32,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
20,4,2,5,5,1,5,14,4.41,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
19,2,0,4,2,1,5,13,4.92,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,D
19,1,0,3,4,1,5,11,3.1,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
19,2,0,5,4,1,5,7,4.38,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,C
20,1,2,5,5,3,5,13,3.14,False,True,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,F
20,2,0,5,3,1,1,10,4.02,True,False,False,True,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
19,2,3,3,4,1,5,8,3.74,True,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,A
19,1,1,3,5,2,4,18,3.66,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
17,1,0,3,4,1,5,13,4.71,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
19,1,0,3,2,1,5,11,3.86,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
19,2,1,4,4,1,5,12,3.1,False,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,F
20,1,1,4,3,1,5,19,3.42,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
20,4,0,2,2,1,3,9,4.41,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,B
19,1,2,2,3,2,2,9,4.86,False,True,True,False,False,True,False,True,True,False,False,False,False,False,False,False,True,False,False,False,A
20,3,0,4,2,1,5,11,4.84,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,C
19,1,0,3,4,3,1,14,3.55,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,D
20,2,0,4,4,1,5,11,3.87,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,False,False,True,False,A
20,2,3,3,3,1,3,7,3.54,True,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,C
20,2,0,4,3,1,5,11,3.09,True,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,C
19,1,0,3,3,2,5,6,4.25,False,True,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,B
20,1,3,4,5,2,5,9,3.98,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
18,1,3,2,3,2,4,5,3.33,False,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,B
19,1,1,4,4,3,5,13,4.54,False,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,C
20,3,2,4,2,2,3,10,3.07,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,D
17,1,0,4,2,1,4,11,4.42,True,False,False,True,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,C
20,2,0,4,4,1,1,8,3.89,False,True,False,True,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,A
17,1,0,2,2,3,5,12,3.27,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
18,1,3,5,2,1,4,8,4.71,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,B
19,1,0,4,2,1,3,20,4.11,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,D
17,1,2,3,3,2,5,6,5.0,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
20,2,2,4,4,1,3,9,3.48,False,True,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,B
17,1,0,5,3,1,2,10,3.91,False,True,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,False,False,True,B
17,2,3,5,3,1,5,8,4.3,False,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,A
19,1,1,4,5,1,2,11,4.02,False,True,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,B
19,2,0,4,3,2,4,10,4.55,False,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,A
19,2,0,4,2,1,3,20,4.3,True,False,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,A
19,2,0,4,4,1,3,14,4.67,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,A
19,1,2,3,4,2,2,5,4.13,False,True,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,A
19,2,0,4,3,1,3,20,3.7,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,B
17,2,0,4,4,1,5,11,3.72,False,True,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,C
19,2,3,4,3,1,3,7,4.14,True,False,True,False,True,False,False,True,False,False,True,False,False,False,False,False,False,False,True,False,B
19,2,0,4,4,1,4,11,4.36,True,False,True,False,False,True,False,True,False,False,True,False,False,False,True,False,False,False,False,False,C
19,2,0,3,4,1,5,13,3.46,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
17,2,0,4,3,1,4,5,4.67,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
19,1,0,4,3,3,3,8,4.94,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
17,2,0,5,2,1,2,10,3.51,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,B
19,2,0,3,4,2,3,8,3.17,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
19,2,0,4,2,1,3,13,3.05,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,F
17,2,0,5,4,2,5,17,3.07,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,D
17,2,0,5,3,2,1,9,3.97,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,A
19,2,0,1,2,1,1,13,4.38,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,D
17,2,0,4,3,2,4,12,3.91,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,B
19,1,0,3,3,1,3,12,4.69,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
19,2,0,4,2,1,5,20,3.0,False,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,A
17,2,0,3,3,1,3,7,4.91,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
19,2,0,4,3,1,2,12,4.32,True,False,True,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,False,C
17,2,0,5,3,1,3,8,3.97,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,D
19,1,0,4,3,3,5,9,4.84,False,True,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,A
19,1,0,5,3,1,3,14,3.52,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,C
17,2,0,4,3,1,5,20,4.71,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
17,1,0,5,2,1,5,20,4.33,False,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,A
19,1,0,3,3,3,3,9,3.15,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,D
17,1,1,4,2,2,2,18,3.52,True,False,True,False,False,True,True,False,True,False,False,False,False,False,False,False,True,False,False,False,B
19,2,0,4,5,1,3,9,4.85,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
19,2,0,4,3,1,2,19,3.21,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,D
19,2,0,4,4,1,4,10,4.23,True,False,False,True,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,A
17,2,0,4,4,1,1,9,3.24,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,D
17,1,0,5,3,1,3,6,3.48,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,C
19,4,0,5,3,1,5,10,3.27,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,C
17,3,1,4,4,3,5,9,4.13,True,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,B
19,2,3,2,3,2,4,7,3.39,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,B
19,2,0,1,3,1,1,12,4.78,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
19,1,0,4,3,1,5,9,3.3,True,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,True,False,D
17,3,0,4,4,1,4,7,3.82,True,False,True,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,True,False,A
19,4,0,4,3,1,3,8,4.84,True,False,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
19,2,0,3,3,1,4,13,4.6,True,False,False,True,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,C
18,2,1,4,4,2,5,7,3.43,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,F
17,1,0,5,2,1,3,10,3.47,True,False,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,B
17,2,0,4,4,1,1,20,4.6,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
17,2,2,3,4,2,1,6,5.0,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,C
18,2,1,3,2,2,4,6,4.64,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
17,1,0,3,3,1,3,7,4.34,True,False,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,A
17,3,0,4,3,1,4,10,3.62,True,False,True,False,False,True,False,True,False,False,False,True,False,False,True,False,False,False,False,False,B
17,2,0,4,2,1,5,6,3.7,True,False,True,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,True,F
17,3,1,4,3,1,5,5,4.2,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,C
19,2,0,2,3,1,3,19,3.71,True,False,False,True,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,B
19,3,0,5,3,1,5,13,4.45,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,B
18,2,1,5,3,1,4,8,4.32,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,D
17,2,0,5,3,1,3,20,3.16,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,A
17,2,0,5,3,1,3,11,4.67,False,True,True,False,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,A
17,3,0,3,2,1,3,10,4.94,True,False,True,False,True,False,False,True,False,True,False,False,False,False,False,True,False,False,False,False,B
17,2,0,3,2,1,3,13,3.25,True,False,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,D
17,2,0,4,5,1,1,11,3.07,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,D
17,2,0,4,5,1,2,9,3.3,False,True,False,True,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,C
19,2,0,4,2,2,1,13,4.55,False,True,True,False,False,True,False,True,False,True,False,False,False,False,True,False,False,False,False,False,B
19,2,0,3,4,1,5,7,3.93,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,A
19,3,0,5,3,1,2,9,3.21,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,F
19,1,0,4,5,1,5,12,3.3,True,False,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,C
18,2,1,5,5,3,2,7,3.79,False,True,True,False,True,False,True,False,False,True,False,False,False,False,False,True,False,False,False,False,A
17,2,0,2,5,1,5,12,4.51,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,D
17,2,0,3,3,2,4,11,4.3,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,B
19,1,0,5,3,1,5,12,3.17,False,True,True,False,True,False,False,True,False,True,False,False,False,False,True,False,False,False,False,False,D
19,1,0,4,3,1,4,18,4.83,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,D
17,1,0,5,2,1,2,12,4.11,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,B
18,2,1,4,3,1,5,5,4.21,False,True,True,False,False,True,True,False,False,True,False,False,False,False,True,False,False,False,False,False,C
19,1,0,4,3,2,5,20,3.31,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,B
18,1,1,4,4,2,5,8,3.57,False,True,True,False,True,False,True,False,False,True,False,False,False,False,True,False,False,False,False,False,C
19,2,0,5,3,1,2,10,4.31,False,True,False,True,False,True,True,False,False,True,False,False,False,False,False,True,False,False,False,False,B
18,1,1,3,2,2,5,9,3.1,False,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,F
19,1,0,3,3,1,3,9,3.07,False,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,D
17,1,0,4,4,2,5,12,3.14,False,True,True,False,True,False,True,False,True,False,False,False,False,False,True,False,False,False,False,False,D
17,1,1,4,4,1,5,9,4.62,False,True,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,B
17,4,0,4,2,1,4,12,4.17,True,False,True,False,False,True,False,True,True,False,False,False,False,False,True,False,False,False,False,False,B
19,2,0,4,3,1,1,11,3.87,False,True,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,C
18,2,0,5,2,1,4,14,4.18,False,True,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,B
17,4,0,3,4,1,2,9,3.53,True,False,True,False,True,False,False,True,True,False,False,False,False,False,True,False,False,False,False,False,C
18,2,0,4,3,1,3,8,4.27,False,True,True,False,False,True,True,False,True,False,False,False,False,False,True,False,False,False,False,False,B
